Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2016,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),77.229835
2016,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),356.685025
2017,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),784.693322
2017,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),313.900078
2017,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),151.093301
2017,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),946.769101
2017,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),7218.441403
2017,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),288.010532
2017,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),781.954641
2017,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1174.272125
2017,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),525.024157
2017,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),125.152374
2017,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),120.069879
2017,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),139.459368
2017,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),452.47363
2017,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),398.033123
2017,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),742.500381
2017,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),192.75222
2017,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),125.990539
2017,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),1011.043409
2017,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),5100.317204
2017,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),166.313526
2017,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),696.723429
2017,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1188.094768
2017,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),536.802915
2017,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),105.813481
2017,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),118.096276
2017,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),136.904066
2017,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),300.185235
2017,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),356.640061
