Year,Ministry,Department,Program,Activity,Budget,Budget Type,Value
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Operations,Budget Supplementary,100000000
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Operations,Original Budget,27619000
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Payroll,Actual,69084451
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Payroll,Budget,83031744
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Payroll,Original Budget,82220737
2004,Ministry of Education & Training,Director General Directorate,Higher Education Services,Tertiary Education & Post Schooling,Operations,Actual,122121686
2004,Ministry of Education & Training,Director General Directorate,Higher Education Services,Tertiary Education & Post Schooling,Operations,Budget,128263915
2004,Ministry of Education & Training,Director General Directorate,Higher Education Services,Tertiary Education & Post Schooling,Operations,Original Budget,128821000
2004,Ministry of Education & Training,Director General Directorate,Higher Education Services,Tertiary Education & Post Schooling,Payroll,Actual,51085454
2004,Ministry of Education & Training,Director General Directorate,Higher Education Services,Tertiary Education & Post Schooling,Payroll,Budget,57527098
2004,Ministry of Education & Training,Director General Directorate,Higher Education Services,Tertiary Education & Post Schooling,Payroll,Original Budget,56970013
