Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2020,Number of private households main roof material,Tafea,,Makeshift or improvised materials,,,,55
2020,Number of private households main roof material,Tafea,,Metal,,,,2854
2020,Number of private households main roof material,Tafea,,Others,,,,3
2020,Number of private households main roof material,Tafea,,Traditional materials,,,,4678
2020,Number of private households main roof material,Tafea,,Wood,,,,372
2009,Number of private households main source lighting,,,,,,,47373
2009,Number of private households main source lighting,,,,Candles,,,2168
2009,Number of private households main source lighting,,,,Lamp (non-renewable),,,26219
2009,Number of private households main source lighting,,,,Elecricity- main grid,,,13258
2009,Number of private households main source lighting,,,,Electricty- own generator,,,842
2009,Number of private households main source lighting,,,,Others,,,3215
2009,Number of private households main source lighting,,,,Solar,,,1671
2009,Number of private households main source lighting,Port Vila,,,,,,9054
2009,Number of private households main source lighting,Port Vila,,,Candles,,,778
2009,Number of private households main source lighting,Port Vila,,,Lamp (non-renewable),,,494
2009,Number of private households main source lighting,Port Vila,,,Elecricity- main grid,,,7551
2009,Number of private households main source lighting,Port Vila,,,Electricty- own generator,,,129
2009,Number of private households main source lighting,Port Vila,,,Others,,,41
2009,Number of private households main source lighting,Port Vila,,,Solar,,,61
2009,Number of private households main source lighting,Luganville,,,,,,2552
2009,Number of private households main source lighting,Luganville,,,Candles,,,370
2009,Number of private households main source lighting,Luganville,,,Lamp (non-renewable),,,295
2009,Number of private households main source lighting,Luganville,,,Elecricity- main grid,,,1735
2009,Number of private households main source lighting,Luganville,,,Electricty- own generator,,,57
2009,Number of private households main source lighting,Luganville,,,Others,,,71
2009,Number of private households main source lighting,Luganville,,,Solar,,,24
2009,Number of private households main source lighting,Torba,,,,,,1766
2009,Number of private households main source lighting,Torba,,,Candles,,,21
2009,Number of private households main source lighting,Torba,,,Lamp (non-renewable),,,1067
2009,Number of private households main source lighting,Torba,,,Elecricity- main grid,,,23
2009,Number of private households main source lighting,Torba,,,Electricty- own generator,,,22
2009,Number of private households main source lighting,Torba,,,Others,,,544
2009,Number of private households main source lighting,Torba,,,Solar,,,89
2009,Number of private households main source lighting,Sanma,,,,,,6661
2009,Number of private households main source lighting,Sanma,,,Candles,,,223
2009,Number of private households main source lighting,Sanma,,,Lamp (non-renewable),,,4920
