Year,Major Industry,Minor Industry,Value
2020,"Arts, entertainment and recreation",Gambling and betting activities,
2020,"Agriculture, forestry and fishing",Growing of non-perennial crops,
2020,"Agriculture, forestry and fishing",Growing of perennial crops,2.0
2020,Education,Higher education,6.0
2020,Human health and social work activities,Hospital activities,3.0
2020,Transportation and storage,Inland water transport,
2020,Administrative and support service activities,Landscape care and maintenance service activities,11.0
2020,"Professional, scientific and technical activities",Legal activities,27.0
2020,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",2.0
2020,"Agriculture, forestry and fishing",Logging,2.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,76.0
2020,"Professional, scientific and technical activities",Management consultancy activities,111.0
2020,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2020,Manufacturing,Manufacture of basic iron and steel,7.0
2020,Manufacturing,Manufacture of beverages,7.0
2020,Manufacturing,Manufacture of dairy products,1.0
2020,Manufacturing,Manufacture of furniture,3.0
2020,Manufacturing,Manufacture of general-purpose machinery,1.0
2020,Manufacturing,Manufacture of knitted and crocheted apparel,
2020,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,10.0
2020,Manufacturing,Manufacture of other chemical products,18.0
2020,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,1.0
2020,Manufacturing,Manufacture of other food products,44.0
2020,Manufacturing,Manufacture of paper and paper products,3.0
2020,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",14.0
2020,Manufacturing,Manufacture of plastics products,1.0
2020,Manufacturing,Manufacture of prepared animal feeds,1.0
2020,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",29.0
2020,Manufacturing,Manufacture of refined petroleum products,
2020,Manufacturing,Manufacture of rubber products,2.0
2020,Manufacturing,Manufacture of sports goods,
2020,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",4.0
2020,Manufacturing,Manufacture of vegetable and animal oils and fats,7.0
2020,Manufacturing,"Manufacture of wearing apparel, except fur apparel",20.0
2020,Human health and social work activities,Medical and dental practice activities,28.0
2020,Mining and quarrying,Mining and quarrying n.e.c.,1.0
2020,"Agriculture, forestry and fishing",Mixed farming,
2020,Financial and insurance activities,Monetary intermediation,5.0
2020,Information and communication,"Motion picture, video and television programme activities",4.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,15.0
2020,Administrative and support service activities,Office administrative and support activities,13.0
2020,Administrative and support service activities,Organization of conventions and trade shows,6.0
2020,"Arts, entertainment and recreation",Other amusement and recreation activities,45.0
2020,Education,Other education,32.0
2020,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",73.0
2020,Human health and social work activities,Other human health activities,26.0
2020,Transportation and storage,Other land transport,424.0
2020,Manufacturing,Other manufacturing n.e.c.,7.0
2020,Other service activities,Other personal service activities,44.0
2020,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",201.0
2020,Administrative and support service activities,Other reservation service and related activities,6.0
2020,Construction,Other specialized construction activities,17.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,15.0
2020,Information and communication,Other telecommunications activities,21.0
2020,Transportation and storage,Passenger air transport,14.0
2020,"Professional, scientific and technical activities",Photographic activities,24.0
2020,"Agriculture, forestry and fishing",Plant propagation,1.0
2020,Transportation and storage,Postal activities,5.0
2020,Education,Pre-primary and primary education,17.0
2020,Manufacturing,Printing and service activities related to printing,24.0
2020,Administrative and support service activities,Private security activities,31.0
2020,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",1.0
2020,Manufacturing,Processing and preserving of fruit and vegetables,
2020,Manufacturing,Processing and preserving of meat,1.0
2020,Public administration and defence; compulsory social security,Provision of services to the community as a whole,4.0
2020,Information and communication,"Publishing of books, periodicals and other publishing activities",2.0
2020,Mining and quarrying,"Quarrying of stone, sand and clay",21.0
2020,Information and communication,Radio broadcasting,2.0
2020,Real estate activities,Real estate activities on a fee or contract basis,112.0
2020,Real estate activities,Real estate activities with own or leased property,11.0
2020,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,5.0
2020,Administrative and support service activities,Renting and leasing of motor vehicles,37.0
2020,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",48.0
2020,Administrative and support service activities,Renting and leasing of personal and household goods,6.0
2020,Other service activities,Repair of computers and communication equipment,14.0
2020,Manufacturing,"Repair of fabricated metal products, machinery and equipment",52.0
2020,Other service activities,Repair of personal and household goods,19.0
2020,Information and communication,Reproduction of recorded media,
2020,Accommodation and food service activities,Restaurants and mobile food service activities,286.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,548.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,30.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,12.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",66.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,9.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,495.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,45.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,7.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",10.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,17.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,15.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",20.0
2020,Information and communication,Satellite telecommunications activities,3.0
2020,Manufacturing,Sawmilling and planing of wood,2.0
2020,Transportation and storage,Sea and coastal water transport,46.0
2020,Education,Secondary education,1.0
2020,Administrative and support service activities,Security systems service activities,2.0
2020,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2020,Accommodation and food service activities,Short term accommodation activities,140.0
2020,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2020,Information and communication,Sound recording and music publishing activities,4.0
2020,"Professional, scientific and technical activities",Specialized design activities,5.0
2020,Manufacturing,"Spinning, weaving and finishing of textiles",2.0
2020,"Arts, entertainment and recreation",Sports activities,9.0
2020,Transportation and storage,Support activities for transportation,131.0
2020,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1.0
2020,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1.0
2020,Information and communication,Television programming and broadcasting activities,3.0
2020,Administrative and support service activities,Travel agency and tour operator activities,79.0
2020,Financial and insurance activities,"Trusts, funds and similar financial entities",7.0
2020,"Professional, scientific and technical activities",Veterinary activities,2.0
2020,Transportation and storage,Warehousing and storage,14.0
2020,"Water supply; sewerage, waste management and remediation activities",Waste collection,1.0
2020,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2020,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",4.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,6.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",2.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,21.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3.0
2020,Information and communication,Wired telecommunications activities,2.0
2020,Information and communication,Wireless telecommunications activities,11.0
2021,,,2500.0
2021,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",17.0
2021,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",9.0
2021,Financial and insurance activities,Activities auxiliary to insurance and pension funding,3.0
2021,Other service activities,"Activities of business, employers and professional membership organizations",
2021,Administrative and support service activities,Activities of call centres,1.0
2021,Administrative and support service activities,Activities of employment placement agencies,1.0
2021,"Professional, scientific and technical activities",Activities of head offices,7.0
2021,"Professional, scientific and technical activities",Advertising,14.0
2021,"Agriculture, forestry and fishing",Animal production,5.0
2021,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,20.0
2021,Accommodation and food service activities,Beverage serving activities,44.0
2021,Construction,Building completion and finishing,5.0
2021,Manufacturing,Building of ships and boats,2.0
2021,Administrative and support service activities,Business support service activities n.e.c.,11.0
2021,Manufacturing,Casting of metals,
2021,Administrative and support service activities,Cleaning activities,8.0
2021,Information and communication,"Computer programming, consultancy and related activities",10.0
2021,Construction,Construction of buildings,152.0
2021,Construction,Construction of other civil engineering projects,2.0
2021,Construction,Construction of roads and railways,11.0
2021,Construction,Construction of utility projects,2.0
2021,Transportation and storage,Courier activities,
2021,"Arts, entertainment and recreation","Creative, arts and entertainment activities",6.0
2021,Information and communication,"Data processing, hosting and related activities; web portals",6.0
2021,Construction,Demolition and site preparation,1.0
2021,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",6.0
2021,Construction,"Electrical, plumbing and other construction installation activities",40.0
2021,Accommodation and food service activities,Event catering and other food service activities,14.0
2021,"Agriculture, forestry and fishing",Fishing,2.0
2021,"Arts, entertainment and recreation",Gambling and betting activities,
2021,"Agriculture, forestry and fishing",Growing of non-perennial crops,
2021,"Agriculture, forestry and fishing",Growing of perennial crops,1.0
2021,Education,Higher education,2.0
2021,Human health and social work activities,Hospital activities,6.0
2021,Transportation and storage,Inland water transport,1.0
2021,Administrative and support service activities,Landscape care and maintenance service activities,12.0
2021,"Professional, scientific and technical activities",Legal activities,15.0
2021,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",1.0
2021,"Agriculture, forestry and fishing",Logging,1.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,35.0
2021,"Professional, scientific and technical activities",Management consultancy activities,51.0
2021,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2021,Manufacturing,Manufacture of basic iron and steel,4.0
2021,Manufacturing,Manufacture of beverages,1.0
2021,Manufacturing,Manufacture of dairy products,
2021,Manufacturing,Manufacture of furniture,3.0
2021,Manufacturing,Manufacture of general-purpose machinery,1.0
2021,Manufacturing,Manufacture of knitted and crocheted apparel,
2021,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,4.0
2021,Manufacturing,Manufacture of other chemical products,5.0
2021,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,1.0
2021,Manufacturing,Manufacture of other food products,23.0
2021,Manufacturing,Manufacture of paper and paper products,2.0
2021,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2.0
2021,Manufacturing,Manufacture of plastics products,2.0
2021,Manufacturing,Manufacture of prepared animal feeds,
2021,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",8.0
2021,Manufacturing,Manufacture of refined petroleum products,
2021,Manufacturing,Manufacture of rubber products,
2021,Manufacturing,Manufacture of sports goods,1.0
2021,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",2.0
2021,Manufacturing,Manufacture of vegetable and animal oils and fats,7.0
2021,Manufacturing,"Manufacture of wearing apparel, except fur apparel",11.0
2021,Human health and social work activities,Medical and dental practice activities,11.0
2021,Mining and quarrying,Mining and quarrying n.e.c.,1.0
2021,"Agriculture, forestry and fishing",Mixed farming,
2021,Financial and insurance activities,Monetary intermediation,6.0
2021,Information and communication,"Motion picture, video and television programme activities",1.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,6.0
2021,Administrative and support service activities,Office administrative and support activities,8.0
2021,Administrative and support service activities,Organization of conventions and trade shows,2.0
2021,"Arts, entertainment and recreation",Other amusement and recreation activities,12.0
2021,Education,Other education,31.0
2021,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",114.0
2021,Human health and social work activities,Other human health activities,15.0
2021,Transportation and storage,Other land transport,297.0
2021,Manufacturing,Other manufacturing n.e.c.,2.0
2021,Other service activities,Other personal service activities,28.0
2021,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",147.0
2021,Administrative and support service activities,Other reservation service and related activities,1.0
2021,Construction,Other specialized construction activities,8.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,3.0
2021,Information and communication,Other telecommunications activities,21.0
2021,Transportation and storage,Passenger air transport,3.0
2021,"Professional, scientific and technical activities",Photographic activities,21.0
2021,"Agriculture, forestry and fishing",Plant propagation,
2021,Transportation and storage,Postal activities,3.0
2021,Education,Pre-primary and primary education,6.0
2021,Manufacturing,Printing and service activities related to printing,6.0
2021,Administrative and support service activities,Private security activities,28.0
2021,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",1.0
2021,Manufacturing,Processing and preserving of fruit and vegetables,
2021,Manufacturing,Processing and preserving of meat,2.0
2021,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2021,Information and communication,"Publishing of books, periodicals and other publishing activities",
2021,Mining and quarrying,"Quarrying of stone, sand and clay",7.0
2021,Information and communication,Radio broadcasting,
2021,Real estate activities,Real estate activities on a fee or contract basis,58.0
2021,Real estate activities,Real estate activities with own or leased property,3.0
2021,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,
2021,Administrative and support service activities,Renting and leasing of motor vehicles,15.0
2021,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",14.0
2021,Administrative and support service activities,Renting and leasing of personal and household goods,5.0
2021,Other service activities,Repair of computers and communication equipment,6.0
2021,Manufacturing,"Repair of fabricated metal products, machinery and equipment",22.0
2021,Other service activities,Repair of personal and household goods,1.0
2021,Information and communication,Reproduction of recorded media,1.0
2021,Accommodation and food service activities,Restaurants and mobile food service activities,107.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,162.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,10.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,2.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",44.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,9.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,408.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,14.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",2.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,5.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,9.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",3.0
2021,Information and communication,Satellite telecommunications activities,4.0
2021,Manufacturing,Sawmilling and planing of wood,2.0
2021,Transportation and storage,Sea and coastal water transport,15.0
2021,Education,Secondary education,1.0
2021,Administrative and support service activities,Security systems service activities,
2021,"Water supply; sewerage, waste management and remediation activities",Sewerage,1.0
2021,Accommodation and food service activities,Short term accommodation activities,44.0
2021,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2021,Information and communication,Sound recording and music publishing activities,4.0
2021,"Professional, scientific and technical activities",Specialized design activities,9.0
2021,Manufacturing,"Spinning, weaving and finishing of textiles",19.0
2021,"Arts, entertainment and recreation",Sports activities,3.0
2021,Transportation and storage,Support activities for transportation,40.0
2021,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1.0
2021,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",
2021,Information and communication,Television programming and broadcasting activities,1.0
2021,Administrative and support service activities,Travel agency and tour operator activities,13.0
2021,Financial and insurance activities,"Trusts, funds and similar financial entities",1.0
2021,"Professional, scientific and technical activities",Veterinary activities,1.0
2021,Transportation and storage,Warehousing and storage,9.0
2021,"Water supply; sewerage, waste management and remediation activities",Waste collection,
2021,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,1.0
2021,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",3.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,8.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,21.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",1.0
2021,Information and communication,Wired telecommunications activities,3.0
2021,Information and communication,Wireless telecommunications activities,2.0
2022,,,13561.0
2022,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",34.0
2022,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",7.0
2022,Administrative and support service activities,Activities of call centres,2.0
2022,Administrative and support service activities,Activities of employment placement agencies,5.0
2022,"Professional, scientific and technical activities",Activities of head offices,9.0
2022,Other service activities,Activities of other membership organizations,2.0
2022,"Professional, scientific and technical activities",Advertising,24.0
2022,"Agriculture, forestry and fishing",Animal production,85.0
2022,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,36.0
2022,Accommodation and food service activities,Beverage serving activities,782.0
2022,Construction,Building completion and finishing,4.0
2022,Manufacturing,Building of ships and boats,4.0
2022,Administrative and support service activities,Business support service activities n.e.c.,35.0
2022,Accommodation and food service activities,"Camping grounds, recreational vehicle parks and trailer parks",3.0
2022,Manufacturing,Casting of metals,1.0
2022,Administrative and support service activities,Cleaning activities,27.0
2022,Information and communication,"Computer programming, consultancy and related activities",6.0
2022,Construction,Construction of buildings,381.0
2022,Construction,Construction of other civil engineering projects,1.0
2022,Construction,Construction of roads and railways,19.0
2022,Construction,Construction of utility projects,3.0
2022,"Arts, entertainment and recreation","Creative, arts and entertainment activities",13.0
2022,Information and communication,"Data processing, hosting and related activities; web portals",21.0
2022,Construction,Demolition and site preparation,5.0
2022,Education,Educational support activities,2.0
2022,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",12.0
2022,Construction,"Electrical, plumbing and other construction installation activities",102.0
2022,Accommodation and food service activities,Event catering and other food service activities,63.0
2022,"Agriculture, forestry and fishing",Fishing,9.0
2022,"Agriculture, forestry and fishing",Growing of non-perennial crops,33.0
2022,"Agriculture, forestry and fishing",Growing of perennial crops,5.0
2022,Education,Higher education,2.0
2022,Human health and social work activities,Hospital activities,2.0
2022,Financial and insurance activities,Insurance,13.0
2022,Administrative and support service activities,Landscape care and maintenance service activities,28.0
2022,"Professional, scientific and technical activities",Legal activities,24.0
2022,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",4.0
2022,"Agriculture, forestry and fishing",Logging,9.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,96.0
2022,"Professional, scientific and technical activities",Management consultancy activities,157.0
2022,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2022,Manufacturing,Manufacture of basic iron and steel,4.0
2022,Manufacturing,Manufacture of beverages,13.0
2022,Manufacturing,Manufacture of communication equipment,1.0
2022,Manufacturing,Manufacture of dairy products,1.0
2022,Manufacturing,Manufacture of furniture,30.0
2022,Manufacturing,Manufacture of general-purpose machinery,2.0
2022,Manufacturing,"Manufacture of grain mill products, starches and starch products",2.0
2022,Manufacturing,Manufacture of knitted and crocheted apparel,1.0
2022,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,36.0
2022,Manufacturing,Manufacture of other chemical products,12.0
2022,Manufacturing,Manufacture of other electrical equipment,1.0
2022,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,5.0
2022,Manufacturing,Manufacture of other food products,302.0
2022,Manufacturing,Manufacture of paper and paper products,4.0
2022,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",29.0
2022,Manufacturing,Manufacture of plastics products,3.0
2022,Manufacturing,Manufacture of prepared animal feeds,1.0
2022,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",28.0
2022,Manufacturing,Manufacture of rubber products,3.0
2022,Manufacturing,Manufacture of sports goods,1.0
2022,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",9.0
2022,Manufacturing,Manufacture of vegetable and animal oils and fats,28.0
2022,Manufacturing,"Manufacture of wearing apparel, except fur apparel",236.0
2022,"Professional, scientific and technical activities",Market research and public opinion polling,1.0
2022,"Water supply; sewerage, waste management and remediation activities",Materials recovery,2.0
2022,Human health and social work activities,Medical and dental practice activities,27.0
2022,Mining and quarrying,Mining and quarrying n.e.c.,6.0
2022,"Agriculture, forestry and fishing",Mixed farming,4.0
2022,Financial and insurance activities,Monetary intermediation,7.0
2022,Information and communication,"Motion picture, video and television programme activities",2.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,15.0
2022,Administrative and support service activities,Office administrative and support activities,15.0
2022,Administrative and support service activities,Organization of conventions and trade shows,3.0
2022,"Arts, entertainment and recreation",Other amusement and recreation activities,58.0
2022,Education,Other education,35.0
2022,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",215.0
2022,Human health and social work activities,Other human health activities,37.0
2022,Administrative and support service activities,Other human resources provision,2.0
2022,Transportation and storage,Other land transport,1621.0
2022,Manufacturing,Other manufacturing n.e.c.,7.0
2022,Other service activities,Other personal service activities,52.0
2022,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",194.0
2022,Administrative and support service activities,Other reservation service and related activities,15.0
2022,Human health and social work activities,Other social work activities without accommodation,1.0
2022,Construction,Other specialized construction activities,34.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,10.0
2022,Information and communication,Other telecommunications activities,12.0
2022,Transportation and storage,Passenger air transport,14.0
2022,"Professional, scientific and technical activities",Photographic activities,36.0
2022,Transportation and storage,Postal activities,1.0
2022,Education,Pre-primary and primary education,22.0
2022,Manufacturing,Printing and service activities related to printing,19.0
2022,Administrative and support service activities,Private security activities,46.0
2022,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",4.0
2022,Manufacturing,Processing and preserving of fruit and vegetables,1.0
2022,Manufacturing,Processing and preserving of meat,6.0
2022,Information and communication,"Publishing of books, periodicals and other publishing activities",1.0
2022,Mining and quarrying,"Quarrying of stone, sand and clay",16.0
2022,Information and communication,Radio broadcasting,3.0
2022,Real estate activities,Real estate activities on a fee or contract basis,92.0
2022,Real estate activities,Real estate activities with own or leased property,211.0
2022,Administrative and support service activities,Renting and leasing of motor vehicles,31.0
2022,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",43.0
2022,Administrative and support service activities,Renting and leasing of personal and household goods,11.0
2022,Other service activities,Repair of computers and communication equipment,24.0
2022,Manufacturing,"Repair of fabricated metal products, machinery and equipment",55.0
2022,Other service activities,Repair of personal and household goods,12.0
2022,Accommodation and food service activities,Restaurants and mobile food service activities,631.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,1324.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,216.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,10.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",1558.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,13.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,564.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,137.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,1958.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",24.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,30.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,20.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",4.0
2022,Information and communication,Satellite telecommunications activities,10.0
2022,Manufacturing,Sawmilling and planing of wood,9.0
2022,Transportation and storage,Sea and coastal water transport,251.0
2022,Education,Secondary education,1.0
2022,"Water supply; sewerage, waste management and remediation activities",Sewerage,4.0
2022,Accommodation and food service activities,Short term accommodation activities,277.0
2022,"Agriculture, forestry and fishing",Silviculture and other forestry activities,8.0
2022,Information and communication,Software publishing,1.0
2022,Information and communication,Sound recording and music publishing activities,1.0
2022,"Professional, scientific and technical activities",Specialized design activities,14.0
2022,Manufacturing,"Spinning, weaving and finishing of textiles",34.0
2022,"Arts, entertainment and recreation",Sports activities,15.0
2022,Transportation and storage,Support activities for transportation,74.0
2022,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1.0
2022,"Agriculture, forestry and fishing",Support services to forestry,1.0
2022,"Professional, scientific and technical activities",Technical testing and analysis,1.0
2022,Information and communication,Television programming and broadcasting activities,1.0
2022,Administrative and support service activities,Temporary employment agency activities,2.0
2022,Administrative and support service activities,Travel agency and tour operator activities,46.0
2022,Financial and insurance activities,"Trusts, funds and similar financial entities",5.0
2022,"Professional, scientific and technical activities",Veterinary activities,38.0
2022,Transportation and storage,Warehousing and storage,14.0
2022,"Water supply; sewerage, waste management and remediation activities",Waste collection,9.0
2022,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,1.0
2022,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",12.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,60.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",18.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,110.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",7.0
2022,Information and communication,Wired telecommunications activities,1.0
2022,Information and communication,Wireless telecommunications activities,3.0
2022,,,197.0
2023,,,12955.0
2023,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",29.0
2023,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",41.0
2023,Financial and insurance activities,Activities auxiliary to insurance and pension funding,1.0
2023,Administrative and support service activities,Activities of employment placement agencies,37.0
2023,"Professional, scientific and technical activities",Activities of head offices,17.0
2023,Financial and insurance activities,Activities of holding companies,2.0
2023,"Professional, scientific and technical activities",Advertising,25.0
2023,"Agriculture, forestry and fishing",Animal production,50.0
2023,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,47.0
2023,Accommodation and food service activities,Beverage serving activities,608.0
2023,Construction,Building completion and finishing,6.0
2023,Manufacturing,Building of ships and boats,6.0
2023,Administrative and support service activities,Business support service activities n.e.c.,64.0
2023,Accommodation and food service activities,"Camping grounds, recreational vehicle parks and trailer parks",1.0
2023,Manufacturing,Casting of metals,1.0
